Country,population,gdp_per_cap,econ_freedom,latitude,host,medals
Georgia,3.69,10890,69,42,0,1
Brazil,214.08,10710,55.1,10,0,1
Estonia,1.37,37195,78.9,59,0,1
Kazakhstan,20.59,15530,63.8,48,0,1
Belgium,11.91,63900,69,50,0,1
Denmark,6.05,82706,79.1,56,0,1
Bulgaria,6.21,22900,68.8,43,0,2
Latvia,1.86,28020,71.4,57,0,2
New Zealand,5.38,52180,78.1,41,0,3
Spain,50.31,40582,66.3,40,0,3
Slovenia,2.13,40160,68.3,46,0,4
Poland,36.21,30650,67.1,52,0,4
Czech Republic,10.87,38370,72.9,49,0,5
Great Britain,70.41,60010,69.3,54,0,5
Australia,28.09,69360,79.3,27,0,6
Finland,5.62,59750,77,64,0,6
South Korea,51.61,37520,74,37,0,10
China,1400,14730,49,35,0,15
Austria,9.21,65640,69.7,47,0,18
Sweden,10.76,66120,77.9,62,0,18
Netherlands,18.14,77880,78.2,52,0,20
Canada,41.56,58240,75.5,60,0,21
Switzerland,9.09,118170,83.7,47,0,23
France,68.82,51710,64.4,46,0,23
Japan,122.66,36390,70.2,36,0,24
Germany,83.78,63600,71.6,51,0,26
Italy,58.88,45883,60.9,42,1,30
United States,342.59,92880,70.2,38,0,33
Norway,5.67,96580,78.3,62,0,41
Madagascar,32.32,653,57,20,0,0
Haiti,12.73,2444,46.1,19,0,0
Kosovo,1.57,8972,61.7,42,0,0
Montenegro,0.62,16380,63.8,42,0,0
North Macedonia,1.8,11527,63.2,41,0,0
Jamaica,2.76,8756,68.7,18,0,0
Armenia,3.1,9393,65.4,40,0,0
Bosnia and Herzegovina,3.44,10546,63.5,44,0,0
Albania,2.67,12147,66.6,41,0,0
Kenya,54.27,2596,54.8,1,0,0
Trinidad and Tobago,1.44,18562,63.6,11,0,0
Nigeria,242.58,1378,53.4,10,0,0
Azerbaijan,10.5,7624,62.5,40,0,0
Uzbekistan,38.49,4136,58,41,0,0
Ecuador,18.24,7384,55.8,2,0,0
Morocco,38.05,5154,60.3,28,0,0
Malta,0.57,53082,66.8,35,0,0
Iran,88.38,4250,42.5,32,0,0
Cyprus,0.95,45601,73.2,35,0,0
Serbia,6.48,17292,64.4,44,0,0
South Africa,64.91,6835,57.3,29,0,0
Colombia,53.48,8644,59.8,4,0,0
Thailand,70.37,7979,60.6,15,0,0
Greece,10.36,29412,60.6,39,0,0
Argentina,48.07,13895,54.2,34,0,0
Chile,20.32,17876,73.2,30,0,0
Malaysia,34.23,14762,67.1,2,0,0
Portugal,10.73,33972,70.5,39,0,0
India,1480,3051,53,20,0,0
Turkey,86.45,18232,56.1,39,0,0
Mexico,134.41,15111,61.3,23,0,0
Israel,10.37,64275,69.9,31,0,0
Saudi Arabia,36.73,35839,64.4,25,0,0
Singapore,6.12,99042,84.1,1,0,0
Moldova,2.34,8984,58.3,47,0,0
Mongolia,3.62,7320,62.6,46,0,0
Croatia,3.85,29368,68.7,45,0,0
Iceland,0.4,108591,72.8,65,0,0
Lithuania,2.89,36225,74.6,56,0,0
Slovakia,5.41,31026,68.4,48,0,0
Hungary,9.54,28304,61.4,47,0,0
Romania,18.82,23768,66.5,46,0,0
Luxembourg,0.7,154115,79.5,49,0,0
Ireland,5.55,135247,83.1,53,0,0
Guinea-Bissau,2.06,1342,43.6,11,0,0
Benin,15.36,1788,58.5,9,0,0
Kyrgyzstan,7.37,2925,55.6,41,0,0
Venezuela,26.89,2972,27.6,6,0,0
Uruguay,3.48,26041,70.2,32,0,0
Philippines,115.59,4619,60.6,13,0,0
United Arab Emirates,11.17,53842,71.6,23,0,0
Chinese Taipei,23.36,41586,79.9,23,0,0